( AH
[j1jp ANNOUNCE
[j1jpi[jr ANNOUNCEMENT
[j257jr[a25 UNIDENTIFIED
[j3[hev[3[h UNBELIEVABLE
[j58 UNDER
[j58bl UNDERGO
[j58h2dk UNDERLYING
[j58i2j UNDERMINE
[j58pr)j5 UNDERSTAND
[j58pr)j5dk UNDERSTANDING
[j58r9g UNDERTAKE
[j93[h UNABLE
[ja]o4[j[r UNFORTUNATE
[ja]o4[j[rhe UNFORTUNATELY
[ja7o UNFAIR
[jalh5 UNFOLD
[jdgpn7gr[5 UNEXPECTED
[jg[ia8r[3[h UNCOMFORTABLE
[jg[v8 UNCOVER
[jghdo UNCLEAR
[jh2g UNLIKE
[jh2ghe UNLIKELY
[jh7p UNLESS
[jjlj UNKNOWN
[jno7p[57jr[5 UNPRECEDENTED
[jp8r[jre UNCERTAINTY
[jrdh UNTIL
[jv2o[ji[jr ENVIRONMENT
[jv2o[ji7jr[h ENVIRONMENTAL
[jx[j ONION
[jxuz[w[h UNUSUAL
[kg[h UNCLE
[n UP
[n(h[f2y APOLOGIZE
[n(h[fe APOLOGY
[n(j UPON
[n(or APART
[n(ori[jr APARTMENT
[n59r UPDATE
[n7o[jr APPARENT
[n7o[jrhe APPARENTLY
[n8 UPPER
[nbo95 UPGRADE
[ndjx[j OPINION
[ndo APPEAR
[ndo[jp APPEARANCE
[neh APPEAL
[ng[idk UPCOMING
[nh2 APPLY
[nlj[jr OPPONENT
[nly OPPOSE
[nly5 OPPOSED
[nmjr APPOINT
[nmjri[jr APPOINTMENT
[no(gp[i[rhe APPROXIMATELY
[noeqe9q[j APPRECIATION
[noeqe9r APPRECIATE
[nol4 APPROACH
[nolnoe[r APPROPRIATE
[nouv APPROVE
[nouv[h APPROVAL
[np7r UPSET
[npr7oy UPSTAIRS
[p US
[p[inq[j ASSUMPTION
[p]hr ASSAULT
[p25 ASIDE
[p2j ASSIGN
[p2ji[jr ASSIGNMENT
[p7i3[h ASSEMBLE
[p7i3he ASSEMBLY
[p7jq[h ESSENTIAL
[p7jq[he ESSENTIALLY
[p7p ASSESS
[p7pi[jr ASSESSMENT
[p8r ASSERT
[pdpr ASSIST
[pdpr[jp ASSISTANCE
[pdpr[jr ASSISTANT
[pg9n ESCAPE
[phen ASLEEP
[plpe[r ASSOCIATE
[plpe9q[j ASSOCIATION
[plpe9r[5 ASSOCIATED
[pn7qhe ESPECIALLY
[pr)3hdq ESTABLISH
[pr)3hdqi[jr ESTABLISHMENT
[pr9r ESTATE
[pro(j[i8 ASTRONOMER
[pui ASSUME
[q9i5 ASHAMED
[qto ASSURE
[r)4 ATTACH
[r)g ATTACK
[r)hx[j ITALIAN
[r7inr ATTEMPT
[r7j5 ATTEND
[r7j5[jp ATTENDANCE
[r7jq[j ATTENTION
[r8je ATTORNEY
[ro)gq[j ATTRACTION
[ro)gr ATTRACT
[ro)grdv ATTRACTIVE
[rp7ha ITSELF
[s]o[re AUTHORITY
[v OF
[v[j OVEN
[v9h[3[h AVAILABLE
[v9h[3dh[re AVAILABILITY
[vm5 AVOID
[w]o5 AWARD
[w7o AWARE
[w7oj[p AWARENESS
[w9 AWAY
[w9g AWAKE
[w9r AWAIT
]a OFF
]a[j OFTEN
]a[p OFFICE
]a[p8 OFFICER
]a8 OFFER
]a8dk OFFERING
]h ALL
]h6l ALTHOUGH
]hilpr ALMOST
]ho2r ALRIGHT
]ho75e ALREADY
]hpl ALSO
]hr[b768 ALTOGETHER
]hr8 ALTER
]hr8j[rdv ALTERNATIVE
]hw9y ALWAYS
]jh2j ONLINE
]o OR
]o[f[j ORIGIN
]o[h ORAL
]o[jf ORANGE
]o3[r ORBIT
]o5[j7oe ORDINARY
]o58 ORDER
]ob)jdg ORGANIC
]ob[j ORGAN
]ob[j[y9q[j ORGANIZATION
]ob[j2y ORGANIZE
]ob[jdy[i ORGANISM
]oe7jr9q[j ORIENTATION
]r OUGHT
]r[i)rdg AUTOMATIC
]r[i)rdghe AUTOMATICALLY
]rl AUTO
]s8 AUTHOR
]s82y AUTHORIZE
18 HOUR
18 OUR
18p7hvy OURSELVES
18y OURS
1jp OUNCE
1r OUT
1r5]o OUTDOOR
1r8 OUTER
1radr OUTFIT
1rg[i OUTCOME
1rh2j OUTLINE
1rh7r OUTLET
1rhtg OUTLOOK
1rntr OUTPUT
1rp25 OUTSIDE
1rpr)j5dk OUTSTANDING
2 EYE
2 I
23o1 EYEBROW
257jr[a[g9q[j IDENTIFICATION
257jr[a2 IDENTIFY
257jr[re IDENTITY
257jrdg[h IDENTICAL
25e(h[fe IDEOLOGY
25e[ IDEA
25e[h(fdg[h IDEOLOGICAL
25eh IDEAL
28j IRON
2g(j ICON
2h AISLE
2h[j5 ISLAND
2o[je IRONY
2odq IRISH
2p ICE
2p[h9q[j ISOLATION
2p[h9r ISOLATE
2r[i ITEM
3(5e BODY
3(68 BOTHER
3(gp BOX
3(i BOMB
3(idk BOMBING
3(j5 BOND
3(o BAR
3(oj BARN
3(ol BORROW
3(r[h BOTTLE
3(r[i BOTTOM
3)5 BAD
3)5he BADLY
3)b BAG
3)g BACK
3)g[n BACKUP
3)gbo1j5 BACKGROUND
3)grdoe[ BACTERIA
3)gx(o5 BACKYARD
3)h[jp BALANCE
3)h[r BALLOT
3)j BAN
3)j5 BAND
3)k BANG
3)kg BANK
3)kg8 BANKER
3)kgdk BANKING
3)kgo[npe BANKRUPTCY
3)o[h BARREL
3)oe8 BARRIER
3)pg[r BASKET
3)pg[r3]h BASKETBALL
3)pr85 BASTARD
3)r BAT
3)r[h BATTLE
3)r8e BATTERY
3)s BATH
3)soui BATHROOM
3[3[h BUBBLE
3[5e BUDDY
3[a]o BEFORE
3[b BUG
3[c)a BEHALF
3[c2j5 BEHIND
3[c9v BEHAVE
3[c9vx8 BEHAVIOR
3[c9vx8[h BEHAVIORAL
3[f[r BUDGET
3[g BUCK
3[g[r BUCKET
3[h[v5 BELOVED
3[h]k BELONG
3[hea BELIEF
3[hev BELIEVE
3[hev8 BELIEVER
3[hl BELOW
3[huj BALLOON
3[j)j[ BANANA
3[j4 BUNCH
3[jes BENEATH
3[p BUS
3[p25 BESIDE
3[p25y BESIDES
3[r BUT
3[r BUTT
3[r[j BUTTON
3[r8 BUTTER
3[ro9 BETRAY
3[rwej BETWEEN
3[y(o BIZARRE
3]h BALL
3]o5 BOARD
3]o58 BORDER
3]odk BORING
3]oj BORN
3]p BOSS
31 BOW
31j58e BOUNDARY
31jp BOUNCE
32 BUY
32 BY
32 BYE
32(h[fe BIOLOGY
32[h(fdg[h BIOLOGICAL
32[p BIAS
323[h BIBLE
328 BUYER
32g BIKE
32j5 BIND
32pdg[h BICYCLE
32r BITE
375 BED
375oui BEDROOM
37b BEG
37h BELL
37he BELLY
37hr BELT
37j[adq[h BENEFICIAL
37j[adr BENEFIT
37j4 BENCH
37j5 BEND
37o BARE
37o BEAR
37oe BURY
37ohe BARELY
37pr BEST
37r BET
37r8 BETTER
385 BIRD
385[j BURDEN
38b8 BURGER
38j BURN
38jdk BURNING
38pr BURST
38s BIRTH
38s59 BIRTHDAY
39 BAY
393 BABE
393e BABY
39g BAKE
39p BASE
39p3]h BASEBALL
39pdg BASIC
39pdghe BASICALLY
39pdp BASIS
39pi[jr BASEMENT
3d(j5 BEYOND
3d4 BITCH
3d5 BID
3db BIG
3dbdj BEGIN
3dbdjdk BEGINNING
3dg[i BECOME
3dg]y BECAUSE
3dh BILL
3dh5 BUILD
3dh5dk BUILDING
3dhx[j BILLION
3do BEER
3dq[n BISHOP
3dr BIT
3dr8 BITTER
3dye BUSY
3dyj[p BUSINESS
3dyj[pi)j BUSINESSMAN
3e BE
3e BEE
3e4 BEACH
3ea BEEF
3edk BEING
3ei BEAM
3ej BEAN
3epr BEAST
3er BEAT
3h(g BLOCK
3h)g BLACK
3h)kg BLANK
3h)kg[r BLANKET
3h)pr BLAST
3h[5 BLOOD
3h[5e BLOODY
3h2j5 BLIND
3h7j5 BLEND
3h7p BLESS
3h7pdk BLESSING
3h95 BLADE
3h9i BLAME
3he5 BLEED
3hl BLOW
3hu BLUE
3lh BOWL
3lh5 BOLD
3lj BONE
3lj[p BONUS
3lr BOAT
3ls BOTH
3m BOY
3mao7j5 BOYFRIEND
3mh BOIL
3o)j4 BRANCH
3o)j5 BRAND
3o[68 BROTHER
3o[q BRUSH
3o]5 BROAD
3o]5g)pr BROADCAST
3o1j BROWN
3o1y8 BROWSER
3o25 BRIDE
3o2r BRIGHT
3o75 BREAD
3o7ga[pr BREAKFAST
3o7pr BREAST
3o7s BREATH
3o9g BREAK
3o9j BRAIN
3o9v BRAVE
3odf BRIDGE
3odg BRICK
3odhx[jr BRILLIANT
3odk BRING
3odrdq BRITISH
3oe6 BREATHE
3oe6dk BREATHING
3oea BRIEF
3oeahe BRIEFLY
3oey BREEZE
3olg[j BROKEN
3our[h BRUTAL
3tg BOOK
3th BULL
3th[r BULLET
3thqdr BULLSHIT
3tq BUSH
3ui BOOM
3upr BOOST
3ur BOOT
3us BOOTH
3xtol BUREAU
3xur[a[h BEAUTIFUL
3xure BEAUTY
4(n CHOP
4(of CHARGE
4(oi CHARM
4(or CHART
4(or8 CHARTER
4)h[jf CHALLENGE
4)h[jfdk CHALLENGING
4)ine[j CHAMPION
4)ine[jqdn CHAMPIONSHIP
4)j[h CHANNEL
4)jp CHANCE
4)nr8 CHAPTER
4)r CHAT
4[g[h CHUCKLE
4[kg CHUNK
4]gh[r CHOCOLATE
42h5 CHILD
42h5ct5 CHILDHOOD
42jey CHINESE
47g CHECK
47o CHAIR
47o[re CHARITY
47oi[j CHAIRMAN
47pr CHEST
484 CHURCH
49i38 CHAMBER
49j CHAIN
49jf CHANGE
49jfdk CHANGING
49p CHASE
4dg[j CHICKEN
4dj CHIN
4dn CHIP
4do CHEER
4ea CHIEF
4eg CHEEK
4en CHEAP
4er CHEAT
4ey CHEESE
4mp CHOICE
4u CHEW
4uy CHOOSE
5(g DOC
5(gr8 DOCTOR
5(gro[j DOCTRINE
5(gx[i7jr DOCUMENT
5(gx[i7jr8e DOCUMENTARY
5(h DOLL
5(h8 DOLLAR
5(i[j[jr DOMINANT
5(i[j9r DOMINATE
5(og DARK
5(ogj[p DARKNESS
5(ohdk DARLING
5(r DOT
5)5 DAD
5)5e DADDY
5)i DAMN
5)i[f DAMAGE
5)jp DANCE
5)jp8 DANCER
5)jpdk DANCING
5[3[h DOUBLE
5[39r DEBATE
5[4 DUTCH
5[a]hr DEFAULT
5[a2j DEFINE
5[a7j5 DEFEND
5[a7j5[jr DEFENDANT
5[a7j58 DEFENDER
5[a7jp DEFENSE
5[a7jpdv DEFENSIVE
5[aer DEFEAT
5[g DUCK
5[h9 DELAY
5[hd38[rhe DELIBERATELY
5[hdq[p DELICIOUS
5[hdv8 DELIVER
5[hdv8e DELIVERY
5[her DELETE
5[i DUMB
5[i7prdg DOMESTIC
5[idjdq DIMINISH
5[in DUMP
5[j2 DENY
5[j2[h DENIAL
5[n(o48 DEPARTURE
5[n(ori[jr DEPARTMENT
5[n(y[r DEPOSIT
5[n7j5 DEPEND
5[n7j5[jr DEPENDENT
5[n7j5dk DEPENDING
5[ndgr DEPICT
5[nhm DEPLOY
5[no7pr DEPRESSED
5[no7q[j DEPRESSION
5[p25 DECIDE
5[p7i38 DECEMBER
5[p7j5 DESCEND
5[pdz[j DECISION
5[pgo23 DESCRIBE
5[pgodnq[j DESCRIPTION
5[pr DUST
5[pro[gq[j DESTRUCTION
5[prom DESTROY
5[r7gr DETECT
5[r7grdv DETECTIVE
5[r8i[j DETERMINE
5[r8i[j9q[j DETERMINATION
5[r9h DETAIL
5[r9h5 DETAILED
5[y[j DOZEN
5[y28 DESIRE
5[y2j DESIGN
5[y2j8 DESIGNER
5[y8v DESERVE
5]b DOG
5]j DAWN
5]o DOOR
5]ow9 DOORWAY
5]r8 DAUGHTER
51j DOWN
51jhl5 DOWNLOAD
51jr1j DOWNTOWN
51r DOUBT
52 DIE
52[3erey DIABETES
52[bjlp DIAGNOSE
52[bjlp[p DIAGNOSIS
52[h]b DIALOGUE
52[r DIET
528e DIARY
52dk DYING
52i[j5 DIAMOND
52j)idg DYNAMIC
52j)idgp DYNAMICS
52jdk DINING
52v8p DIVERSE
575 DEAD
575[g9r DEDICATE
575h2j DEADLINE
575he DEADLY
57a[j[rhe DEFINITELY
57a[jdq[j DEFINITION
57a[p[r DEFICIT
57g DECK
57g95 DECADE
57gh89q[j DECLARATION
57h[g[r DELICATE
57i[bo)adg DEMOGRAPHIC
57i[go)r DEMOCRAT
57i[go)rdg DEMOCRATIC
57i[jpro9q[j DEMONSTRATION
57i[jpro9r DEMONSTRATE
57jp[re DENSITY
57ns DEPTH
57nx[re DEPUTY
57o DARE
57pg DESK
57pn8[rhe DESPERATELY
57pno[r DESPERATE
57pr[j9q[j DESTINATION
57pr[je DESTINY
57r DEBT
57s DEATH
57v[h DEVIL
57y8r DESERT
582v DERIVE
587gq[j DIRECTION
587gr DIRECT
587gr8 DIRECTOR
587grhe DIRECTLY
58r DIRT
58re DIRTY
59 DAY
593xu DEBUT
59he DAILY
59jf8 DANGER
59jf8[p DANGEROUS
59r DATE
59r[ DATA
59r[39p DATABASE
5da[g[hr DIFFICULT
5da8 DIFFER
5da8[jp DIFFERENCE
5da8[jr DIFFERENT
5dadg[hre DIFFICULTY
5dao[jrhe DIFFERENTLY
5db DIG
5dbj[re DIGNITY
5dboe DEGREE
5df[r[h DIGITAL
5dgh2j DECLINE
5dgh7o DECLARE
5dgoep DECREASE
5di(go[pe DEMOCRACY
5di)j5 DEMAND
5di7jq[j DIMENSION
5dj8 DINNER
5dnh[i)rdg DIPLOMATIC
5do DEAR
5do DEER
5dp[3dh[re DISABILITY
5dp[boe DISAGREE
5dp[ndo DISAPPEAR
5dp[nh[j DISCIPLINE
5dp[nmjr[5 DISAPPOINTED
5dp[nmjri[jr DISAPPOINTMENT
5dp]o58 DISORDER
5dp93[h5 DISABLED
5dpg DISK
5dpg[p DISCUSS
5dpg[q[j DISCUSSION
5dpg[v8 DISCOVER
5dpg[v8e DISCOVERY
5dpg]op DISCOURSE
5dpg1jr DISCOUNT
5dpg8df DISCOURAGE
5dpghly DISCLOSE
5dpghlz8 DISCLOSURE
5dpgodi[j9q[j DISCRIMINATION
5dpidp DISMISS
5dpn2r DESPITE
5dpnh9 DISPLAY
5dpnxur DISPUTE
5dpr[jp DISTANCE
5dpr[jr DISTANT
5dpr83dk DISTURBING
5dprdkbwdq DISTINGUISH
5dprdkgq[j DISTINCTION
5dprdkgr DISTINCT
5dpro)gr DISTRACT
5dpro[3xuq[j DISTRIBUTION
5dprod3xur DISTRIBUTE
5dprodgr DISTRICT
5dq DISH
5dv]op DIVORCE
5dv25 DIVIDE
5dv2j DIVINE
5dv2p DEVICE
5dv7h[n DEVELOP
5dv7h[n8 DEVELOPER
5dv7h[ndk DEVELOPING
5dv7h[ni[jr DEVELOPMENT
5dv7h[ni7jr[h DEVELOPMENTAL
5dv8p[re DIVERSITY
5dvdz[j DIVISION
5dvlr DEVOTE
5dy)pr8 DISASTER
5dy8r DESSERT
5dyey DISEASE
5eh DEAL
5eh8 DEALER
5ei DEEM
5ei[j DEMON
5en DEEP
5enhe DEEPLY
5ep[jr DECENT
5l DOUGH
5li9j DOMAIN
5lj8 DONOR
5lj9q[j DONATION
5lj9r DONATE
5lp DOSE
5o(i[ DRAMA
5o(n DROP
5o)ar DRAFT
5o)b DRAG
5o)b[j DRAGON
5o[b DRUG
5o[i DRUM
5o[i)rdg DRAMATIC
5o[i)rdghe DRAMATICALLY
5o[kg DRUNK
5o] DRAW
5o]dk DRAWING
5o]o DRAWER
5o1j DROWN
5o2 DRY
5o2v DRIVE
5o2v8 DRIVER
5o2vdk DRIVING
5o7p DRESS
5o9j DRAIN
5odar DRIFT
5odh DRILL
5odkg DRINK
5odkgdk DRINKING
5oei DREAM
5todk DURING
5u DO
5u DUE
5u5 DUDE
5ure DUTY
6)j THAN
6)r THAT
6[ THE
6[p THUS
61 THOU
67i THEM
67ip7hvy THEMSELVES
67j THEN
67o THEIR
67o THERE
67o32 THEREBY
67oa]o THEREFORE
69 THEY
6dp THIS
6ey THESE
6l THOUGH
6ly THOSE
7 EH
75[r EDIT
75[r8 EDITOR
7a8r EFFORT
7b EGG
7by[r EXIT
7bydpr[jp EXISTENCE
7f EDGE
7f[g9q[j EDUCATION
7f[g9q[j[h EDUCATIONAL
7f[g9r EDUCATE
7f[g9r8 EDUCATOR
7g[j(idg ECONOMIC
7g[j(idgp ECONOMICS
7gl ECHO
7gp[3dq[j EXHIBITION
7gp[gxuq[j EXECUTION
7gp[gxur EXECUTE
7gp[h[jr EXCELLENT
7gp8p2y EXERCISE
7gpn]or EXPORT
7gpn7gr9q[j EXPECTATION
7gpn8r EXPERT
7gpn8rey EXPERTISE
7gpnh[j9q[j EXPLANATION
7gpnh89q[j EXPLORATION
7gpnhmr EXPLOIT
7gpro[ EXTRA
7gw[re EQUITY
7h[a[jr ELEPHANT
7h[b[jr ELEGANT
7h[f[3[h ELIGIBLE
7h[i[jr ELEMENT
7h[i7jroe ELEMENTARY
7h[v9r8 ELEVATOR
7h3l ELBOW
7h58 ELDER
7h58he ELDERLY
7hp ELSE
7hpw7o ELSEWHERE
7i3[pe EMBASSY
7i37o[pr EMBARRASSED
7i3o9p EMBRACE
7ia[p2y EMPHASIZE
7ia[pdp EMPHASIS
7in28 EMPIRE
7in88 EMPEROR
7inhm EMPLOY
7inhm8 EMPLOYER
7inhme EMPLOYEE
7inhmi[jr EMPLOYMENT
7inre EMPTY
7j)gr ENACT
7j[ie ENEMY
7j5 END
7j5]op ENDORSE
7j5dk ENDING
7j5h[p ENDLESS
7j5xto ENDURE
7j8fe ENERGY
7j93[h ENABLE
7ja]op ENFORCE
7ja]opi[jr ENFORCEMENT
7jb9f ENGAGE
7jb9fi[jr ENGAGEMENT
7jc)jp ENHANCE
7je ANY
7je3[5e ANYBODY
7jei]o ANYMORE
7jer2i ANYTIME
7jesdk ANYTHING
7jew[j ANYONE
7jew7o ANYWHERE
7jew9 ANYWAY
7jf[j ENGINE
7jf[jdodk ENGINEERING
7jfm ENJOY
7jg1jr8 ENCOUNTER
7jg8df ENCOURAGE
7jg8dfdk ENCOURAGING
7jolh ENROLL
7jqto ENSURE
7jr[re ENTITY
7jr28 ENTIRE
7jr28he ENTIRELY
7jr2r[h ENTITLE
7jr8 ENTER
7jr8no2y ENTERPRISE
7jr8r9ji[jr ENTERTAINMENT
7jro[jp ENTRANCE
7jroe ENTRY
7jsuye)y[i ENTHUSIASM
7jv[hln ENVELOPE
7n[pl5 EPISODE
7o AIR
7o[ ERA
7o8 ERROR
7oe[ AREA
7ogo)ar AIRCRAFT
7oh2j AIRLINE
7on]or AIRPORT
7onh9j AIRPLANE
7p[jp ESSENCE
7p9 ESSAY
7pr[i[r ESTIMATE
7pr[i9r[5 ESTIMATED
7r ET
7rp7r8[ ETC
7sdg[h ETHICAL
7sdgp ETHICS
7sjdg ETHNIC
7v[5[jp EVIDENCE
7v[5[jr EVIDENT
7v[huq[j EVOLUTION
7v8 EVER
7v8e EVERY
7voe3(5e EVERYBODY
7voe59 EVERYDAY
7voesdk EVERYTHING
7voew[j EVERYONE
7voew7o EVERYWHERE
81j5 AROUND
82v ARRIVE
82v[h ARRIVAL
82y ARISE
83 HERB
83[j URBAN
87pr ARREST
89 ARRAY
89jf ARRANGE
89jfi[jr ARRANGEMENT
8df[j[h ORIGINAL
8df[j[he ORIGINALLY
8ej[ ARENA
8f URGE
8he EARLY
8j EARN
8jdky EARNINGS
8s EARTH
8sgw9g EARTHQUAKE
93[h ABLE
95 AID
95 AIDE
95y AIDS
9f AGE
9f[jpe AGENCY
9f[jr AGENT
9g8 ACRE
9he[j ALIEN
9i AIM
9j4[jr ANCIENT
9jf[h ANGEL
9no[h APRIL
9r EIGHT
9rs EIGHTH
9z[j ASIAN
a(68 FATHER
a(h FALL
a(hl FOLLOW
a(hl8 FOLLOWER
a(hldk FOLLOWING
a(o FAR
a(oi FARM
a(oi8 FARMER
a(p[h FOSSIL
a(pr8 FOSTER
a)3odg FABRIC
a)g[hre FACULTY
a)gr FACT
a)gr8 FACTOR
a)gr8e FACTORY
a)i[he FAMILY
a)j FAN
a)jpe FANCY
a)jr)prdg FANTASTIC
a)jr[pe FANTASY
a)p[j9rdk FASCINATING
a)pr FAST
a)pr8 FASTER
a)q[j FASHION
a)r FAT
a[g FUCK
a[gdk FUCKING
a[h(p[ae PHILOSOPHY
a[idhx8 FAMILIAR
a[j FUN
a[j(i[j(j PHENOMENON
a[j)jp FINANCE
a[j)jq[h FINANCIAL
a[j5 FUND
a[j5[i7jr[h FUNDAMENTAL
a[j5dk FUNDING
a[je FUNNY
a[kgq[j FUNCTION
a[kgq[j[h FUNCTIONAL
