ACCEPT IT	EXCEPT AT
BABY MAKE	MAYBE BAKE
BABY MALL	MAYBE BALL
BABY MAN	MAYBE BAN
BABY MARRY	MAYBE BURY
BABY MATH	MAYBE BATH
BABY MAY	MAYBE BAY
BABY ME	MAYBE BE
BABY MEAN	MAYBE BEAN
BABY MEAT	MAYBE BEAT
BABY MEET	MAYBE BEAT
BABY MELT	MAYBE BELT
BABY MERE	MAYBE BEER
BABY MIGHT	MAYBE BITE
BABY MILL	MAYBE BILL
BABY MILLION	MAYBE BILLION
BABY MIND	MAYBE BIND
BABY MOM	MAYBE BOMB
BABY MY	MAYBE BUY
BACK CELL	SACK BELL
BACK CITE	SACK BITE
BACK LAKE	LACK BAKE
BACK LAND	LACK BAND
BACK LAY	LACK BAY
BACK LEAD	LACK BED
BACK LEAF	LACK BEEF
BACK LEAN	LACK BEAN
BACK LEARN	LACK BURN
BACK LEARNING	LACK BURNING
BACK LEAST	LACK BEAST
BACK LEG	LACK BEG
BACK LEND	LACK BEND
BACK LET	LACK BET
BACK LETTER	LACK BETTER
BACK LIAR	LACK BUYER
BACK LIE	LACK BUY
BACK LIGHT	LACK BITE
BACK LIKE	LACK BIKE
BACK LOAN	LACK BONE
BACK LOOK	LACK BOOK
BACK LORD	LACK BOARD
BACK LOSS	LACK BOSS
BACK LUCK	LACK BUCK
BACK LUNCH	LACK BUNCH
BACK PACE	PACK BASE
BACK PAD	PACK BAD
BACK PAIR	PACK BARE
BACK PALM	PACK BOMB
BACK PAN	PACK BAN
BACK PATH	PACK BATH
BACK PAY	PACK BAY
BACK PEER	PACK BEER
BACK PET	PACK BET
BACK PIE	PACK BUY
BACK PIG	PACK BIG
BACK PILL	PACK BILL
BACK PIT	PACK BIT
BACK PITCH	PACK BITCH
BACK PLEAD	PACK BLEED
BACK POLE	PACK BOWL
BACK POLL	PACK BOWL
BACK POND	PACK BOND
BACK PRIDE	PACK BRIDE
BACK PULL	PACK BULL
BACK PUNCH	PACK BUNCH
BACK PUSH	PACK BUSH
BACK RACE	RACK BASE
BACK RANK	RACK BANK
BACK RANKING	RACK BANKING
BACK RARE	RACK BARE
BACK RARELY	RACK BARELY
BACK RAT	RACK BAT
BACK RAY	RACK BAY
BACK RE	RACK BAY
BACK REACH	RACK BEACH
BACK READ	RACK BED
BACK RED	RACK BED
BACK RELIEF	RACK BELIEF
BACK RELIEVE	RACK BELIEVE
BACK REST	RACK BEST
BACK RICH	RACK BITCH
BACK RID	RACK BID
BACK RIGHT	RACK BITE
BACK ROLE	RACK BOWL
BACK ROLL	RACK BOWL
BACK ROOM	RACK BOOM
BACK ROOT	RACK BOOT
BACK SAD	SACK BAD
BACK SADLY	SACK BADLY
BACK SAKE	SACK BAKE
BACK SAND	SACK BAND
BACK SAUCE	SACK BOSS
BACK SAY	SACK BAY
BACK SCENE	SACK BEAN
BACK SEA	SACK BE
BACK SEAT	SACK BEAT
BACK SEE	SACK BE
BACK SEEM	SACK BEAM
BACK SELL	SACK BELL
BACK SEND	SACK BEND
BACK SET	SACK BET
BACK SIGH	SACK BUY
BACK SIGHT	SACK BITE
BACK SIT	SACK BIT
BACK SITE	SACK BITE
BACK SLOW	SACK BLOW
BACK SOIL	SACK BOIL
BACK SOLE	SACK BOWL
BACK SOUL	SACK BOWL
BACK SUCK	SACK BUCK
BACK SUIT	SACK BOOT
BACK SWORD	SACK BOARD
BACK WRITE	RACK BITE
BAD CELL	SAD BELL
BAD CITE	SAD BITE
BAD DARE	DAD BARE
BAD DAY	DAD BAY
BAD DEAD	DAD BED
BAD DEAR	DAD BEER
BAD DEBT	DAD BET
BAD DECIDE	DAD BESIDE
BAD DEEM	DAD BEAM
BAD DEER	DAD BEER
BAD DIE	DAD BUY
BAD DIG	DAD BIG
BAD DOUBLE	DAD BUBBLE
BAD DRAIN	DAD BRAIN
BAD DROWN	DAD BROWN
BAD DUCK	DAD BUCK
BAD MAKE	MAD BAKE
BAD MALL	MAD BALL
BAD MAN	MAD BAN
BAD MARRY	MAD BURY
BAD MATH	MAD BATH
BAD MAY	MAD BAY
BAD MAYBE	MAD BABY
BAD ME	MAD BE
BAD MEAN	MAD BEAN
BAD MEAT	MAD BEAT
BAD MEET	MAD BEAT
BAD MELT	MAD BELT
BAD MERE	MAD BEER
BAD MIGHT	MAD BITE
BAD MILL	MAD BILL
BAD MILLION	MAD BILLION
BAD MIND	MAD BIND
BAD MOM	MAD BOMB
BAD MY	MAD BUY
BAD PACE	PAD BASE
BAD PACK	PAD BACK
BAD PAIR	PAD BARE
BAD PALM	PAD BOMB
BAD PAN	PAD BAN
BAD PATH	PAD BATH
BAD PAY	PAD BAY
BAD PEER	PAD BEER
BAD PET	PAD BET
BAD PIE	PAD BUY
BAD PIG	PAD BIG
BAD PILL	PAD BILL
BAD PIT	PAD BIT
BAD PITCH	PAD BITCH
BAD PLEAD	PAD BLEED
BAD POLE	PAD BOWL
BAD POLL	PAD BOWL
BAD POND	PAD BOND
BAD PRIDE	PAD BRIDE
BAD PULL	PAD BULL
BAD PUNCH	PAD BUNCH
BAD PUSH	PAD BUSH
BAD SACK	SAD BACK
BAD SADLY	SAD BADLY
BAD SAKE	SAD BAKE
BAD SAND	SAD BAND
BAD SAUCE	SAD BOSS
BAD SAY	SAD BAY
BAD SCENE	SAD BEAN
BAD SEA	SAD BE
BAD SEAT	SAD BEAT
BAD SEE	SAD BE
BAD SEEM	SAD BEAM
BAD SELL	SAD BELL
BAD SEND	SAD BEND
BAD SET	SAD BET
BAD SIGH	SAD BUY
BAD SIGHT	SAD BITE
BAD SIT	SAD BIT
BAD SITE	SAD BITE
BAD SLOW	SAD BLOW
BAD SOIL	SAD BOIL
BAD SOLE	SAD BOWL
BAD SOUL	SAD BOWL
BAD SUCK	SAD BUCK
BAD SUIT	SAD BOOT
BAD SWORD	SAD BOARD
BADLY CELL	SADLY BELL
BADLY CITE	SADLY BITE
BADLY SACK	SADLY BACK
BADLY SAD	SADLY BAD
BADLY SAKE	SADLY BAKE
BADLY SAND	SADLY BAND
BADLY SAUCE	SADLY BOSS
BADLY SAY	SADLY BAY
BADLY SCENE	SADLY BEAN
BADLY SEA	SADLY BE
BADLY SEAT	SADLY BEAT
BADLY SEE	SADLY BE
BADLY SEEM	SADLY BEAM
BADLY SELL	SADLY BELL
BADLY SEND	SADLY BEND
BADLY SET	SADLY BET
BADLY SIGH	SADLY BUY
BADLY SIGHT	SADLY BITE
BADLY SIT	SADLY BIT
BADLY SITE	SADLY BITE
BADLY SLOW	SADLY BLOW
BADLY SOIL	SADLY BOIL
BADLY SOLE	SADLY BOWL
BADLY SOUL	SADLY BOWL
BADLY SUCK	SADLY BUCK
BADLY SUIT	SADLY BOOT
BADLY SWORD	SADLY BOARD
BAG TAKE	TAG BAKE
BAG TALL	TAG BALL
BAG TANK	TAG BANK
BAG TEA	TAG BE
BAG TEACH	TAG BEACH
BAG TEAM	TAG BEAM
BAG TEAR	TAG BARE
BAG TEEN	TAG BEAN
BAG TELL	TAG BELL
BAG TEND	TAG BEND
BAG TEST	TAG BEST
BAG TIE	TAG BUY
BAG TIGHT	TAG BITE
BAG TILL	TAG BILL
BAG TIRE	TAG BUYER
BAG TOLL	TAG BOWL
BAG TONE	TAG BONE
BAG TOOTH	TAG BOOTH
BAG TOSS	TAG BOSS
BAG TOY	TAG BOY
BAG TRAIN	TAG BRAIN
BAG TRICK	TAG BRICK
BAG TUCK	TAG BUCK
BAG TURN	TAG BURN
BAKE CALL	CAKE BALL
BAKE CALM	CAKE BOMB
BAKE CAN	CAKE BAN
BAKE CAR	CAKE BAR
BAKE CARE	CAKE BARE
BAKE CARRIER	CAKE BARRIER
BAKE CASE	CAKE BASE
BAKE CAT	CAKE BAT
BAKE CATTLE	CAKE BATTLE
BAKE CELL	SAKE BELL
BAKE CITE	SAKE BITE
BAKE CLAIM	CAKE BLAME
BAKE CLOCK	CAKE BLOCK
BAKE CLUE	CAKE BLUE
BAKE COAL	CAKE BOWL
BAKE COAT	CAKE BOAT
BAKE COLD	CAKE BOLD
BAKE COOK	CAKE BOOK
BAKE CORD	CAKE BOARD
BAKE CORN	CAKE BORN
BAKE COW	CAKE BOW
BAKE CROWN	CAKE BROWN
BAKE CRUSH	CAKE BRUSH
BAKE CUT	CAKE BUT
BAKE FACE	FAKE BASE
BAKE FAIR	FAKE BARE
BAKE FAIRLY	FAKE BARELY
BAKE FAN	FAKE BAN
BAKE FAR	FAKE BAR
BAKE FAT	FAKE BAT
BAKE FATHER	FAKE BOTHER
BAKE FEAR	FAKE BEER
BAKE FEE	FAKE BE
BAKE FIGHT	FAKE BITE
BAKE FILL	FAKE BILL
BAKE FIND	FAKE BIND
BAKE FIRE	FAKE BUYER
BAKE FIRST	FAKE BURST
BAKE FIT	FAKE BIT
BAKE FLAME	FAKE BLAME
BAKE FLOOD	FAKE BLOOD
BAKE FLOW	FAKE BLOW
BAKE FOLD	FAKE BOLD
BAKE FRAUD	FAKE BROAD
BAKE FREEZE	FAKE BREEZE
BAKE FUCK	FAKE BUCK
BAKE FULL	FAKE BULL
BAKE KEY	CAKE BE
BAKE KID	CAKE BID
BAKE KILL	CAKE BILL
BAKE KIND	CAKE BIND
BAKE KIT	CAKE BIT
BAKE LACK	LAKE BACK
BAKE LAND	LAKE BAND
BAKE LAY	LAKE BAY
BAKE LEAD	LAKE BED
BAKE LEAF	LAKE BEEF
BAKE LEAN	LAKE BEAN
BAKE LEARN	LAKE BURN
BAKE LEARNING	LAKE BURNING
BAKE LEAST	LAKE BEAST
BAKE LEG	LAKE BEG
BAKE LEND	LAKE BEND
BAKE LET	LAKE BET
BAKE LETTER	LAKE BETTER
BAKE LIAR	LAKE BUYER
BAKE LIE	LAKE BUY
BAKE LIGHT	LAKE BITE
BAKE LIKE	LAKE BIKE
BAKE LOAN	LAKE BONE
BAKE LOOK	LAKE BOOK
BAKE LORD	LAKE BOARD
BAKE LOSS	LAKE BOSS
BAKE LUCK	LAKE BUCK
BAKE LUNCH	LAKE BUNCH
BAKE MAD	MAKE BAD
BAKE MALL	MAKE BALL
BAKE MAN	MAKE BAN
BAKE MARRY	MAKE BURY
BAKE MATH	MAKE BATH
BAKE MAY	MAKE BAY
BAKE MAYBE	MAKE BABY
BAKE ME	MAKE BE
BAKE MEAN	MAKE BEAN
BAKE MEAT	MAKE BEAT
BAKE MEET	MAKE BEAT
BAKE MELT	MAKE BELT
BAKE MERE	MAKE BEER
BAKE MIGHT	MAKE BITE
BAKE MILL	MAKE BILL
BAKE MILLION	MAKE BILLION
BAKE MIND	MAKE BIND
BAKE MOM	MAKE BOMB
BAKE MY	MAKE BUY
BAKE PHONE	FAKE BONE
BAKE SACK	SAKE BACK
BAKE SAD	SAKE BAD
BAKE SADLY	SAKE BADLY
BAKE SAND	SAKE BAND
BAKE SAUCE	SAKE BOSS
BAKE SAY	SAKE BAY
BAKE SCENE	SAKE BEAN
BAKE SEA	SAKE BE
BAKE SEAT	SAKE BEAT
BAKE SEE	SAKE BE
BAKE SEEM	SAKE BEAM
BAKE SELL	SAKE BELL
BAKE SEND	SAKE BEND
BAKE SET	SAKE BET
BAKE SHARE	SHAKE BARE
BAKE SHE	SHAKE BE
BAKE SHEER	SHAKE BEER
BAKE SHEET	SHAKE BEAT
BAKE SHELL	SHAKE BELL
BAKE SHIT	SHAKE BEAT
BAKE SHOOT	SHAKE BOOT
BAKE SHUT	SHAKE BUT
BAKE SHY	SHAKE BUY
BAKE SIGH	SAKE BUY
BAKE SIGHT	SAKE BITE
BAKE SIT	SAKE BIT
BAKE SITE	SAKE BITE
BAKE SLOW	SAKE BLOW
BAKE SOIL	SAKE BOIL
BAKE SOLE	SAKE BOWL
BAKE SOUL	SAKE BOWL
BAKE SUCK	SAKE BUCK
BAKE SUIT	SAKE BOOT
BAKE SWORD	SAKE BOARD
BAKE TAG	TAKE BAG
BAKE TALL	TAKE BALL
BAKE TANK	TAKE BANK
BAKE TEA	TAKE BE
BAKE TEACH	TAKE BEACH
BAKE TEAM	TAKE BEAM
BAKE TEAR	TAKE BARE
BAKE TEEN	TAKE BEAN
BAKE TELL	TAKE BELL
BAKE TEND	TAKE BEND
BAKE TEST	TAKE BEST
BAKE TIE	TAKE BUY
BAKE TIGHT	TAKE BITE
BAKE TILL	TAKE BILL
BAKE TIRE	TAKE BUYER
BAKE TOLL	TAKE BOWL
BAKE TONE	TAKE BONE
BAKE TOOTH	TAKE BOOTH
BAKE TOSS	TAKE BOSS
BAKE TOY	TAKE BOY
BAKE TRAIN	TAKE BRAIN
BAKE TRICK	TAKE BRICK
BAKE TUCK	TAKE BUCK
BAKE TURN	TAKE BURN
BAKE WALL	WAKE BALL
BAKE WARN	WAKE BORN
BAKE WAY	WAKE BAY
BAKE WE	WAKE BE
BAKE WEAR	WAKE BARE
BAKE WEIGH	WAKE BAY
BAKE WELL	WAKE BELL
BAKE WEST	WAKE BEST
BAKE WET	WAKE BET
BAKE WHAT	WAKE BUT
BAKE WHEAT	WAKE BEAT
BAKE WHERE	WAKE BARE
BAKE WHICH	WAKE BITCH
BAKE WHITE	WAKE BITE
BAKE WHY	WAKE BUY
BAKE WILL	WAKE BILL
BAKE WIND	WAKE BIND
BAKE WIRE	WAKE BUYER
BAKE WITCH	WAKE BITCH
BAKE WORD	WAKE BIRD
BAKE WORTH	WAKE BIRTH
BAKE WOW	WAKE BOW
BALL CAKE	CALL BAKE
BALL CALM	CALL BOMB
BALL CAN	CALL BAN
BALL CAR	CALL BAR
BALL CARE	CALL BARE
BALL CARRIER	CALL BARRIER
BALL CASE	CALL BASE
BALL CAT	CALL BAT
BALL CATTLE	CALL BATTLE
BALL CLAIM	CALL BLAME
BALL CLOCK	CALL BLOCK
BALL CLUE	CALL BLUE
BALL COAL	CALL BOWL
BALL COAT	CALL BOAT
BALL COLD	CALL BOLD
BALL COOK	CALL BOOK
BALL CORD	CALL BOARD
BALL CORN	CALL BORN
BALL COW	CALL BOW
BALL CROWN	CALL BROWN
BALL CRUSH	CALL BRUSH
BALL CUT	CALL BUT
BALL HAIR	HALL BARE
BALL HAND	HALL BAND
BALL HANG	HALL BANG
BALL HAT	HALL BAT
BALL HE	HALL BE
BALL HEAD	HALL BED
BALL HEAR	HALL BEER
BALL HEAT	HALL BEAT
BALL HEIGHT	HALL BITE
BALL HELL	HALL BELL
BALL HELLO	HALL BELOW
BALL HERE	HALL BEER
BALL HEY	HALL BAY
BALL HI	HALL BUY
BALL HIGH	HALL BUY
BALL HILL	HALL BILL
BALL HIRE	HALL BUYER
BALL HIT	HALL BIT
BALL HOLD	HALL BOLD
BALL HOLE	HALL BOWL
BALL HOOK	HALL BOOK
BALL HORN	HALL BORN
BALL HOW	HALL BOW
BALL HUG	HALL BUG
BALL KEY	CALL BE
BALL KID	CALL BID
BALL KILL	CALL BILL
BALL KIND	CALL BIND
BALL KIT	CALL BIT
BALL MAD	MALL BAD
BALL MAKE	MALL BAKE
BALL MAN	MALL BAN
BALL MARRY	MALL BURY
BALL MATH	MALL BATH
BALL MAY	MALL BAY
BALL MAYBE	MALL BABY
BALL ME	MALL BE
BALL MEAN	MALL BEAN
BALL MEAT	MALL BEAT
BALL MEET	MALL BEAT
BALL MELT	MALL BELT
BALL MERE	MALL BEER
BALL MIGHT	MALL BITE
BALL MILL	MALL BILL
BALL MILLION	MALL BILLION
BALL MIND	MALL BIND
BALL MOM	MALL BOMB
BALL MY	MALL BUY
BALL TAG	TALL BAG
BALL TAKE	TALL BAKE
BALL TANK	TALL BANK
BALL TEA	TALL BE
BALL TEACH	TALL BEACH
BALL TEAM	TALL BEAM
BALL TEAR	TALL BARE
BALL TEEN	TALL BEAN
BALL TELL	TALL BELL
BALL TEND	TALL BEND
BALL TEST	TALL BEST
BALL TIE	TALL BUY
BALL TIGHT	TALL BITE
BALL TILL	TALL BILL
BALL TIRE	TALL BUYER
BALL TOLL	TALL BOWL
BALL TONE	TALL BONE
BALL TOOTH	TALL BOOTH
BALL TOSS	TALL BOSS
BALL TOY	TALL BOY
BALL TRAIN	TALL BRAIN
BALL TRICK	TALL BRICK
BALL TUCK	TALL BUCK
BALL TURN	TALL BURN
BALL WAKE	WALL BAKE
BALL WARN	WALL BORN
BALL WAY	WALL BAY
BALL WE	WALL BE
BALL WEAR	WALL BARE
BALL WEIGH	WALL BAY
BALL WELL	WALL BELL
BALL WEST	WALL BEST
BALL WET	WALL BET
BALL WHAT	WALL BUT
BALL WHEAT	WALL BEAT
BALL WHERE	WALL BARE
BALL WHICH	WALL BITCH
BALL WHITE	WALL BITE
BALL WHOLE	HALL BOWL
BALL WHOM	HALL BOOM
BALL WHY	WALL BUY
BALL WILL	WALL BILL
BALL WIND	WALL BIND
BALL WIRE	WALL BUYER
BALL WITCH	WALL BITCH
BALL WORD	WALL BIRD
BALL WORTH	WALL BIRTH
BALL WOW	WALL BOW
BAN CAKE	CAN BAKE
BAN CALL	CAN BALL
BAN CALM	CAN BOMB
BAN CAR	CAN BAR
BAN CARE	CAN BARE
BAN CARRIER	CAN BARRIER
BAN CASE	CAN BASE
BAN CAT	CAN BAT
BAN CATTLE	CAN BATTLE
BAN CLAIM	CAN BLAME
BAN CLOCK	CAN BLOCK
BAN CLUE	CAN BLUE
BAN COAL	CAN BOWL
BAN COAT	CAN BOAT
BAN COLD	CAN BOLD
BAN COOK	CAN BOOK
BAN CORD	CAN BOARD
BAN CORN	CAN BORN
BAN COW	CAN BOW
BAN CROWN	CAN BROWN
BAN CRUSH	CAN BRUSH
BAN CUT	CAN BUT
BAN FACE	FAN BASE
BAN FAIR	FAN BARE
BAN FAIRLY	FAN BARELY
BAN FAKE	FAN BAKE
BAN FAR	FAN BAR
BAN FAT	FAN BAT
BAN FATHER	FAN BOTHER
BAN FEAR	FAN BEER
BAN FEE	FAN BE
BAN FIGHT	FAN BITE
BAN FILL	FAN BILL
BAN FIND	FAN BIND
BAN FIRE	FAN BUYER
BAN FIRST	FAN BURST
BAN FIT	FAN BIT
BAN FLAME	FAN BLAME
BAN FLOOD	FAN BLOOD
BAN FLOW	FAN BLOW
BAN FOLD	FAN BOLD
BAN FRAUD	FAN BROAD
BAN FREEZE	FAN BREEZE
BAN FUCK	FAN BUCK
BAN FULL	FAN BULL
BAN KEY	CAN BE
BAN KID	CAN BID
BAN KILL	CAN BILL
BAN KIND	CAN BIND
BAN KIT	CAN BIT
BAN MAD	MAN BAD
BAN MAKE	MAN BAKE
BAN MALL	MAN BALL
BAN MARRY	MAN BURY
BAN MATH	MAN BATH
BAN MAY	MAN BAY
BAN MAYBE	MAN BABY
BAN ME	MAN BE
BAN MEAN	MAN BEAN
BAN MEAT	MAN BEAT
BAN MEET	MAN BEAT
BAN MELT	MAN BELT
BAN MERE	MAN BEER
BAN MIGHT	MAN BITE
BAN MILL	MAN BILL
BAN MILLION	MAN BILLION
BAN MIND	MAN BIND
BAN MOM	MAN BOMB
BAN MY	MAN BUY
BAN PACE	PAN BASE
BAN PACK	PAN BACK
BAN PAD	PAN BAD
BAN PAIR	PAN BARE
BAN PALM	PAN BOMB
BAN PATH	PAN BATH
BAN PAY	PAN BAY
BAN PEER	PAN BEER
BAN PET	PAN BET
BAN PHONE	FAN BONE
BAN PIE	PAN BUY
BAN PIG	PAN BIG
BAN PILL	PAN BILL
BAN PIT	PAN BIT
BAN PITCH	PAN BITCH
BAN PLEAD	PAN BLEED
BAN POLE	PAN BOWL
BAN POLL	PAN BOWL
BAN POND	PAN BOND
BAN PRIDE	PAN BRIDE
BAN PULL	PAN BULL
BAN PUNCH	PAN BUNCH
BAN PUSH	PAN BUSH
BAN THAT	THAN BAT
BAN THEIR	THAN BARE
BAN THERE	THAN BARE
BAN THEY	THAN BAY
BAN THOU	THAN BOW
BAN THUS	THAN BUS
BAN VARY	VAN BURY
BAN VERY	VAN BURY
BAN VOTE	VAN BOAT
BAND CELL	SAND BELL
BAND CITE	SAND BITE
BAND HAIR	HAND BARE
BAND HALL	HAND BALL
BAND HANG	HAND BANG
BAND HAT	HAND BAT
BAND HE	HAND BE
BAND HEAD	HAND BED
BAND HEAR	HAND BEER
BAND HEAT	HAND BEAT
BAND HEIGHT	HAND BITE
BAND HELL	HAND BELL
BAND HELLO	HAND BELOW
BAND HERE	HAND BEER
BAND HEY	HAND BAY
BAND HI	HAND BUY
BAND HIGH	HAND BUY
BAND HILL	HAND BILL
BAND HIRE	HAND BUYER
BAND HIT	HAND BIT
BAND HOLD	HAND BOLD
BAND HOLE	HAND BOWL
BAND HOOK	HAND BOOK
BAND HORN	HAND BORN
BAND HOW	HAND BOW
BAND HUG	HAND BUG
BAND LACK	LAND BACK
BAND LAKE	LAND BAKE
BAND LAY	LAND BAY
BAND LEAD	LAND BED
BAND LEAF	LAND BEEF
BAND LEAN	LAND BEAN
BAND LEARN	LAND BURN
BAND LEARNING	LAND BURNING
BAND LEAST	LAND BEAST
BAND LEG	LAND BEG
BAND LEND	LAND BEND
BAND LET	LAND BET
BAND LETTER	LAND BETTER
BAND LIAR	LAND BUYER
BAND LIE	LAND BUY
BAND LIGHT	LAND BITE
BAND LIKE	LAND BIKE
BAND LOAN	LAND BONE
BAND LOOK	LAND BOOK
BAND LORD	LAND BOARD
BAND LOSS	LAND BOSS
BAND LUCK	LAND BUCK
BAND LUNCH	LAND BUNCH
BAND SACK	SAND BACK
BAND SAD	SAND BAD
BAND SADLY	SAND BADLY
BAND SAKE	SAND BAKE
BAND SAUCE	SAND BOSS
BAND SAY	SAND BAY
BAND SCENE	SAND BEAN
BAND SEA	SAND BE
BAND SEAT	SAND BEAT
BAND SEE	SAND BE
BAND SEEM	SAND BEAM
BAND SELL	SAND BELL
BAND SEND	SAND BEND
BAND SET	SAND BET
BAND SIGH	SAND BUY
BAND SIGHT	SAND BITE
BAND SIT	SAND BIT
BAND SITE	SAND BITE
BAND SLOW	SAND BLOW
BAND SOIL	SAND BOIL
BAND SOLE	SAND BOWL
BAND SOUL	SAND BOWL
BAND SUCK	SAND BUCK
BAND SUIT	SAND BOOT
BAND SWORD	SAND BOARD
BAND WHOLE	HAND BOWL
BAND WHOM	HAND BOOM
BANG GAY	GANG BAY
BANG GEAR	GANG BEER
BANG GET	GANG BET
BANG GOAL	GANG BOWL
BANG GOAT	GANG BOAT
BANG GOLD	GANG BOLD
BANG GRAIN	GANG BRAIN
BANG GRAND	GANG BRAND
BANG GRAVE	GANG BRAVE
BANG GRIEF	GANG BRIEF
BANG GUEST	GANG BEST
BANG GUT	GANG BUT
BANG GUY	GANG BUY
BANG HAIR	HANG BARE
BANG HALL	HANG BALL
BANG HAND	HANG BAND
BANG HAT	HANG BAT
BANG HE	HANG BE
BANG HEAD	HANG BED
BANG HEAR	HANG BEER
BANG HEAT	HANG BEAT
BANG HEIGHT	HANG BITE
BANG HELL	HANG BELL
BANG HELLO	HANG BELOW
BANG HERE	HANG BEER
BANG HEY	HANG BAY
BANG HI	HANG BUY
BANG HIGH	HANG BUY
BANG HILL	HANG BILL
BANG HIRE	HANG BUYER
BANG HIT	HANG BIT
BANG HOLD	HANG BOLD
BANG HOLE	HANG BOWL
BANG HOOK	HANG BOOK
BANG HORN	HANG BORN
BANG HOW	HANG BOW
BANG HUG	HANG BUG
BANG WHOLE	HANG BOWL
BANG WHOM	HANG BOOM
BANK RACE	RANK BASE
BANK RACK	RANK BACK
BANK RANKING	RANK BANKING
BANK RARE	RANK BARE
BANK RARELY	RANK BARELY
BANK RAT	RANK BAT
BANK RAY	RANK BAY
BANK RE	RANK BAY
BANK REACH	RANK BEACH
BANK READ	RANK BED
